Amc twitter eng psych,affect,pos,neg,anx,anger,sad,Combine,min value,
Min,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nokia twitter eng drive,drives,affiliation,achieve,power,reward,risk,Combine,Min value,
Mean,0.0077153,0.0065719,0.017021,0.0104274,0.0113118,0.011249,0.0083743,0.0065719,affiliation
Median,0.0091923,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0091923,0.0091923,drives
Max,0.0083551,0.0171751,0.0087659,0.0070322,0.0090992,0.0069385,0.0142624,0.0069385,risk
Min,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,0.0107134,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nokia news psych,affect,pos,neg,anx,anger,sad,Combine,Min value,
Mean,0.013047,0.0125866,0.0124907,0.0118545,0.0185232,0.0071015,0.0321937,0.0071015,sad
Median,0.0118385,0.0116375,0.0119404,0.011932,0.019636,0.0082775,0.0382321,0.0082775,sad
Max,0.0053614,0.0055956,0.0036741,0.0066805,0.0076528,0.0028585,0.0019846,0.0028585,sad
Min,0.0084364,0.0081229,0.0107625,0.0123777,0.0125809,0.0122194,0.020127,0.0081229,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nokia news drive,drives,affiliation,achieve,power,reward,risk,Combine,Min value,
Mean,0.0126434,0.0119467,0.0130376,0.0128796,0.0110861,0.0081988,0.0171045,0.0081988,risk
Median,0.0111746,0.0101122,0.0137423,0.0125995,0.0126457,0.0083107,0.0312432,0.0083107,risk
Max,0.0099024,0.0080072,0.011102,0.0101511,0.0086991,0.0056656,0.0053526,0.0056656,risk
Min,0.0083218,0.0108433,0.0084781,0.0082712,0.0079738,0.0112435,0.0098155,0.0079738,
